event_id,areaperil_id,intensity_bin_id,probability
1,1,12,1
1,2,14,1
1,3,16,1
1,4,17,1
1,5,18,1
1,6,17,1
1,7,17,1
1,8,18,1
1,9,16,1
1,10,15,1
1,11,11,1
1,12,13,1
1,13,14,1
1,14,16,1
1,15,17,1
1,16,17,1
1,17,17,1
1,18,16,1
1,19,15,1
1,20,13,1
1,21,12,1
1,22,14,1
1,23,16,1
1,24,18,1
1,25,19,1
1,26,19,1
1,27,19,1
1,28,18,1
1,29,17,1
1,30,14,1
1,31,13,1
1,32,15,1
1,33,18,1
1,34,19,1
1,35,17,1
1,36,14,1
1,37,16,1
1,38,19,1
1,39,18,1
1,40,16,1
1,41,14,1
1,42,16,1
1,43,19,1
1,44,17,1
1,45,10,1
1,46,10,1
1,47,10,1
1,48,16,1
1,49,19,1
1,50,17,1
1,51,14,1
1,52,17,1
1,53,19,1
1,54,16,1
1,55,10,1
1,56,10,1
1,57,10,1
1,58,14,1
1,59,19,1
1,60,17,1
1,61,14,1
1,62,16,1
1,63,18,1
1,64,18,1
1,65,12,1
1,66,12,1
1,67,13,1
1,68,17,1
1,69,19,1
1,70,17,1
1,71,13,1
1,72,15,1
1,73,18,1
1,74,19,1
1,75,18,1
1,76,16,1
1,77,17,1
1,78,19,1
1,79,18,1
1,80,16,1
1,81,12,1
1,82,14,1
1,83,16,1
1,84,18,1
1,85,18,1
1,86,19,1
1,87,19,1
1,88,18,1
1,89,17,1
1,90,15,1
1,91,11,1
1,92,12,1
1,93,14,1
1,94,17,1
1,95,18,1
1,96,19,1
1,97,18,1
1,98,18,1
1,99,19,1
1,100,17,1
1,101,11,1
1,102,13,1
1,103,15,1
1,104,18,1
1,105,19,1
1,106,14,1
1,107,14,1
1,108,13,1
1,109,18,1
1,110,18,1
