index,AREA_PERIL_ID,Centro_Lon,Centro_Lat,Vc_mph,r_km,RMW_km,Vmax_ms,B,event_id,bin_index,bin_from,bin_to,interpolation,interval_type
0,1,-61.85523670542582,16.562561366123354,95.64087762171157,57.70218765676523,74.08000183,66.4,1.5528188882522498,1,12,92.5,97.5,95,1202
1,2,-61.85576849804767,16.472179167373948,105.62983620690609,48.92377053768783,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
2,3,-61.85629696899786,16.381796179347543,115.27879632350385,40.7389774767567,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
3,4,-61.85682212545885,16.29141240594817,121.89981318015423,33.584736858286576,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
4,5,-61.857343974560344,16.20102785108731,122.57964879660705,28.255110765346956,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
5,6,-61.85786252337943,16.11064251868392,120.38163617076023,25.902116208711465,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
6,7,-61.85837777894103,16.020256412664388,121.94155660131155,27.3064950059192,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
7,8,-61.85888974821787,15.92986953696244,122.69412153152861,31.977046249303502,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
8,9,-61.85939843813102,15.839481895519219,117.44095270765263,38.75029171379851,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
9,10,-61.85990385554984,15.749093492283116,108.25597514205326,46.72055789621128,74.08000183,66.4,1.5528188882522498,1,15,107.5,112.5,110,1202
10,11,-61.761524523399096,16.56202581283612,90.34886667415863,62.81818192037173,74.08000183,66.4,1.5528188882522498,1,11,87.5,92.5,90,1202
11,12,-61.76209985971509,16.471646700249348,98.7566497392344,54.86492764951235,74.08000183,66.4,1.5528188882522498,1,13,97.5,102.5,100,1202
12,13,-61.762671602608606,16.38126679563062,107.07323085982651,47.710866370068615,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
13,14,-61.76323975984918,16.290886102902583,114.10831090822191,41.76875187805498,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
14,15,-61.76380433914935,16.20050462599526,118.78650185996281,37.61743007238568,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
15,16,-61.764365348164844,16.11012236884613,120.72725689163002,35.883967720054386,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
16,17,-61.76492279449473,16.019739335399983,119.35256830546874,36.910676174432716,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
17,18,-61.765476685681854,15.929355529608964,115.559375488343,40.48818024904903,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
18,19,-61.76602702921298,15.83897095543247,109.08676324639667,46.02551839260851,74.08000183,66.4,1.5528188882522498,1,15,107.5,112.5,110,1202
19,20,-61.76657383251913,15.748585616837197,100.97088547570296,52.910961272494205,74.08000183,66.4,1.5528188882522498,1,13,97.5,102.5,100,1202
20,21,-61.66781594267152,16.561448134851066,95.15860216332118,58.74900087010953,74.08000183,66.4,1.5528188882522498,1,12,92.5,97.5,95,1202
21,22,-61.668434814854784,16.471072350974964,105.60975107177396,50.247344671340386,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
22,23,-61.669049821922044,16.38069577209567,116.12631458789556,42.42899596998617,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
23,24,-61.669660972229764,16.29031840215589,124.57964027272484,35.745243903129015,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
24,25,-61.67026827407304,16.199940245105697,128.58181075066912,30.94041210688592,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
25,26,-61.67087173568585,16.109561304902485,129.07127376637476,28.96523347970353,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
26,27,-61.671471365241295,16.019181585510943,128.81360975026297,30.376874551177515,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
27,28,-61.67206717085197,15.928801090903006,125.61792701557495,34.76526191552353,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
28,29,-61.672659160570184,15.838419825057851,117.79387270429186,41.189762872826456,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
29,30,-61.673247342388244,15.748037791961822,107.44453349103723,48.85364766950756,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
30,31,-61.574111235527006,16.560828339647205,100.18335796832892,54.52136354174806,74.08000183,66.4,1.5528188882522498,1,13,97.5,102.5,100,1202
31,32,-61.57477363515943,16.470456126982555,112.316654964268,45.23251898351752,74.08000183,66.4,1.5528188882522498,1,15,107.5,112.5,110,1202
32,33,-61.57543189804404,16.380083116127295,123.89821739355686,36.35172831385602,74.08000183,66.4,1.5528188882522498,1,18,122.5,127.5,125,1202
33,34,-61.57608603312389,16.289709311045698,128.99957460254004,28.26634777027605,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
34,35,-61.57673604927639,16.199334715709284,118.35913019652425,21.876945271498666,74.08000183,66.4,1.5528188882522498,1,17,117.5,122.5,120,1202
35,36,-61.57738195531345,16.108959334096852,103.86287209248675,18.981470907061656,74.08000183,66.4,1.5528188882522498,1,14,102.5,107.5,105,1202
36,37,-61.57802375998198,16.01858317019441,115.13720108092207,21.07315885293292,74.08000183,66.4,1.5528188882522498,1,16,112.5,117.5,115,1202
37,38,-61.57866147196397,15.928206227995146,128.4750178450235,27.017608264570924,74.08000183,66.4,1.5528188882522498,1,19,127.5,132.5,130,1202
