index,AREA_PERIL_ID,Centro_Lon,Centro_Lat,Vc_mph,r_km,RMW_km,Vmax_ms,B,event_id,bin_index,bin_from,bin_to,interpolation,interval_type
0,1,-61.85523670542582,16.562561366123354,83.1469184295109,51.386298107892664,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
1,2,-61.85576849804767,16.472179167373948,75.57441330495323,61.00701476150471,66.23915023749144,69.45,1.3724764887512442,1,8,72.5,77.5,75,1202
2,3,-61.85629696899786,16.381796179347543,68.97415176180453,70.74806463924217,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
3,4,-61.85682212545885,16.29141240594817,63.32146820852033,80.56584356516474,66.23915023749144,69.45,1.3724764887512442,1,6,62.5,67.5,65,1202
4,5,-61.857343974560344,16.20102785108731,58.48704718553998,90.43539367548951,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
5,6,-61.85786252337943,16.11064251868392,54.332681955581165,100.34146469488,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
6,7,-61.85837777894103,16.020256412664388,50.73755507316025,110.27423763445172,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
7,8,-61.85888974821787,15.92986953696244,47.60253823914927,120.22711530202118,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
8,9,-61.85939843813102,15.839481895519219,44.84805143385091,130.1955060086425,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
9,10,-61.85990385554984,15.749093492283116,42.410542650535454,140.13509228727008,66.23915023749144,69.45,1.3724764887512442,1,1,37.5,42.5,40,1202
10,11,-61.761524523399096,16.56202581283612,85.04035060971025,49.15283641819938,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
11,12,-61.76209985971509,16.471646700249348,76.96423476805053,59.13784396440682,66.23915023749144,69.45,1.3724764887512442,1,8,72.5,77.5,75,1202
12,13,-61.762671602608606,16.38126679563062,69.99006107180435,69.14253267086131,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
13,14,-61.76323975984918,16.290886102902583,64.07568291287512,79.15947289697435,66.23915023749144,69.45,1.3724764887512442,1,6,62.5,67.5,65,1202
14,15,-61.76380433914935,16.20050462599526,59.05831576451165,89.184565061922,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
15,16,-61.764365348164844,16.11012236884613,54.774111282399495,99.21536352115959,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
16,17,-61.76492279449473,16.019739335399983,51.22665128211757,108.56064239798778,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
17,18,-61.765476685681854,15.929355529608964,48.26388258464014,117.70815626023406,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
18,19,-61.76602702921298,15.83897095543247,45.60506319923766,126.99262649668908,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
19,20,-61.76657383251913,15.748585616837197,43.214201639366344,136.38610412244273,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
20,21,-61.66781594267152,16.561448134851066,85.25830391103051,48.898740125565666,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
21,22,-61.668434814854784,16.471072350974964,77.12381573657687,58.926640984929506,66.23915023749144,69.45,1.3724764887512442,1,8,72.5,77.5,75,1202
22,23,-61.669049821922044,16.38069577209567,70.31080684537147,68.48870234135696,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
23,24,-61.669660972229764,16.29031840215589,65.08323988825681,77.14943142398796,66.23915023749144,69.45,1.3724764887512442,1,6,62.5,67.5,65,1202
24,25,-61.67026827407304,16.199940245105697,60.40979987179865,86.11306361562052,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
25,26,-61.67087173568585,16.109561304902485,56.272263366535284,95.29418802637475,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
26,27,-61.671471365241295,16.019181585510943,52.6188091876991,104.63559350476544,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
27,28,-61.67206717085197,15.928801090903006,49.389015603246236,114.09794117417422,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
28,29,-61.672659160570184,15.838419825057851,46.52471881074789,123.6534895531052,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
29,30,-61.673247342388244,15.748037791961822,43.974030613059554,133.28221276503376,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
30,31,-61.574111235527006,16.560828339647205,87.48797031273756,46.23158508563178,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
31,32,-61.57477363515943,16.470456126982555,80.31233777048928,54.72206014064249,66.23915023749144,69.45,1.3724764887512442,1,9,77.5,82.5,80,1202
32,33,-61.57543189804404,16.380083116127295,73.56527637363453,63.66885143155485,66.23915023749144,69.45,1.3724764887512442,1,8,72.5,77.5,75,1202
33,34,-61.57608603312389,16.289709311045698,67.55082136740513,72.90418994677131,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
34,35,-61.57673604927639,16.199334715709284,62.29827635974005,82.331061949768,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
35,36,-61.57738195531345,16.108959334096852,57.73714193474134,91.89056668846865,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
36,37,-61.57802375998198,16.01858317019441,53.7718248995143,101.54527751060813,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
37,38,-61.57866147196397,15.928206227995146,50.30970351291887,111.27043705121935,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
38,39,-61.57929509987702,15.837828511499428,47.269929283349796,121.04908726168992,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
39,40,-61.57992465227449,15.747450024714707,44.58481517545507,130.86925687824194,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
40,41,-61.48041067418749,16.560166435247872,91.87038419707864,41.231649959165,66.23915023749144,69.45,1.3724764887512442,1,11,87.5,92.5,90,1202
41,42,-61.48111659226007,16.46979803624475,83.74577461569025,50.568522006945145,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
42,43,-61.48181810201905,16.379428835647584,76.11879753753531,60.136244914389934,66.23915023749144,69.45,1.3724764887512442,1,8,72.5,77.5,75,1202
43,44,-61.48251521299376,16.289058837443594,69.4443005256772,69.84004355253896,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
44,45,-61.48320793464357,16.198688045627296,63.72012161904679,79.63021850038415,66.23915023749144,69.45,1.3724764887512442,1,6,62.5,67.5,65,1202
45,46,-61.48389627635813,16.108316464200282,58.8233260077167,89.47845020092392,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
46,47,-61.484580247457714,16.017944097171345,54.616454385134304,99.36750352943524,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
47,48,-61.485259857193554,15.927570948556388,50.977667262288584,109.28632029752642,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
48,49,-61.48593511474818,15.837197022378342,47.80642212909939,119.22749321770245,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
49,50,-61.48660602923569,15.746822322667251,45.02179535261898,129.1858803291169,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
50,51,-61.386714530808604,16.559462430220478,94.40615461448847,38.2405682896349,66.23915023749144,69.45,1.3724764887512442,1,12,92.5,97.5,95,1202
51,52,-61.387463957721685,16.469098087274826,85.80807068883614,48.1606672763274,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
52,53,-61.38820870482575,16.378732939115753,77.63669768287889,58.125864463139635,66.23915023749144,69.45,1.3724764887512442,1,9,77.5,82.5,80,1202
53,54,-61.38894878223608,16.28836698975499,70.55299620512895,68.11640716672882,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
54,55,-61.389684199993646,16.19800024321136,64.5418068476066,78.12260477103472,66.23915023749144,69.45,1.3724764887512442,1,6,62.5,67.5,65,1202
55,56,-61.390414968065485,16.1076327035108,59.444506560991435,88.13915432095658,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
56,57,-61.39114109634499,16.0172643746863,55.0955621289313,98.16291248464348,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
57,58,-61.391862594652245,15.926895260777869,51.35414990750615,108.1918987184372,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
58,59,-61.39257947273443,15.836525365832534,48.10728614091856,118.22480346830525,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
59,60,-61.39329174026606,15.74615469390427,45.26587504168398,128.2607263402484,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
60,61,-61.29302307747523,16.558716333676163,94.81542548871013,37.738728756110305,66.23915023749144,69.45,1.3724764887512442,1,12,92.5,97.5,95,1202
61,62,-61.293816003038984,16.46835628912635,86.1527024884748,47.76298884432308,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
62,63,-61.2946039773729,16.37799543552799,77.88979055118544,57.796565791746396,66.23915023749144,69.45,1.3724764887512442,1,9,77.5,82.5,80,1202
63,64,-61.29538701117793,16.287633776918724,70.73682528441839,67.83536327107073,66.23915023749144,69.45,1.3724764887512442,1,7,67.5,72.5,70,1202
64,65,-61.29616511507633,16.1972713173432,64.67740631040283,77.87739509904449,66.23915023749144,69.45,1.3724764887512442,1,6,62.5,67.5,65,1202
65,66,-61.29693829961214,16.106908060853094,59.546673280278064,87.92158176695045,66.23915023749144,69.45,1.3724764887512442,1,5,57.5,62.5,60,1202
66,67,-61.297706575251546,16.01654401150706,55.17419099600167,97.96728609962074,66.23915023749144,69.45,1.3724764887512442,1,4,52.5,57.5,55,1202
67,68,-61.298469952383165,15.926179173370675,51.415861962591904,108.01410771454339,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
68,69,-61.29922844131843,15.835813550516438,48.15658167388635,118.06178232852633,66.23915023749144,69.45,1.3724764887512442,1,3,47.5,52.5,50,1202
69,70,-61.299982052292,15.745447147023745,45.305874548519235,128.11012841229882,66.23915023749144,69.45,1.3724764887512442,1,2,42.5,47.5,45,1202
70,71,-61.19933658619734,16.557928155269597,93.08383361452037,39.820027873754356,66.23915023749144,69.45,1.3724764887512442,1,12,92.5,97.5,95,1202
71,72,-61.20017299963192,16.467572651392977,84.72061453735436,49.42376974991039,66.23915023749144,69.45,1.3724764887512442,1,10,82.5,87.5,85,1202
72,73,-61.20100419049489,16.377216334417085,76.83780865354647,59.17619919188818,66.23915023749144,69.45,1.3724764887512442,1,8,72.5,77.5,75,1202
